WDC(m)	GRIP(m)	WD2014 age (yr BP1950)	GICC age (yr BP1950)	difference (yr)	section error (yr)
139.1365	139.3839	472.50000000000006	472.7062222222223	-0.20622222222226583	-0.20622222222226583
142.90114	143.15456	489.9952747252748	490.1313777777778	-0.13610305250301735	0.07011916971924848
182.41005	181.31995	662.7603658536586	662.9747500000001	-0.21438414634144465	-0.0782810938384273
188.45998	187.29059	690.2780985915492	690.8470666666667	-0.5689680751174819	-0.3545839287760373
208.83713	205.9964	777.1903921568628	777.857	-0.6666078431371716	-0.09763976801968965
223.29808	219.5368	839.2792031872509	840.0175115207373	-0.7383083334864295	-0.07170049034925796
264.103	256.15244	1010.0	1010.0088727272729	-0.00887272727288746	0.7294356062135421
279.3105	269.39	1072.497916666667	1072.7333333333333	-0.23541666666642413	-0.22654393939353668
325.77286	309.70468	1267.6472173913044	1268.131911111111	-0.48469371980672804	-0.2492770531403039
339.464	320.86798	1322.0	1322.2149	-0.21489999999994325	0.2697937198067848
351.35205	331.87845	1375.5056451612904	1375.3922499999999	0.11339516129055482	0.32829516129049807
359.6614	338.89203	1409.9394285714284	1409.1400999999998	0.7993285714285321	0.6859334101379773
361.01752	339.8614	1414.500114285714	1413.682	0.8181142857140458	0.018785714285513677
380.16846	356.2628	1493.0271951219513	1492.3902222222223	0.6369728997290167	-0.18114138598502905
423.70557	394.24423	1682.0706083650189	1682.0854666666667	-0.01485830164779145	-0.6518312013768082
445.54684	413.21722	1777.8320912547526	1778.4611	-0.6290087452473472	-0.6141504435995557
518.4427	475.05817	2091.6030434782606	2092.5408500000003	-0.9378065217397307	-0.3087977764923835
523.8032	479.29388	2114.607633587786	2114.8221714285714	-0.21453784078539684	0.7232686809543338
532.688	486.67575	2155.172881355932	2154.575714285714	0.5971670702178926	0.8117049110032895
541.39795	493.0477	2189.1982824427487	2189.0713414634147	0.12694097933399462	-0.470226090883898
568.0407	513.4398	2300.994347826087	2300.932	0.06234782608726164	-0.06459315324673298
583.8395	526.7442	2372.2627118644073	2372.7946666666667	-0.5319548022594063	-0.5943026283466679
593.9524	534.13794	2412.6415300546446	2412.1897	0.45183005464468806	0.9837848569040943
619.32996	553.4706	2518.4971122994657	2518.478	0.019112299465632532	-0.43271775517905553
747.6572	659.32324	3117.7939655172413	3118.1328000000003	-0.33883448275901173	-0.35794678222464427
765.16394	673.5012	3199.8317968750002	3199.8413333333338	-0.00953645833351402	0.3292980244254977
799.7706	701.841	3367.959375	3368.2684563758385	-0.3090813758385593	-0.2995449175050453
810.3125	709.99976	3417.0456989247314	3417.4272	-0.3815010752687158	-0.07241969943015647
841.3834	733.55396	3558.8202898550726	3559.4512	-0.630910144927384	-0.24940906965866816
845.08386	736.48346	3575.9991764705883	3576.9903750000003	-0.9911985294120313	-0.3602883844846474
850.7301	740.5822	3602.2561111111113	3602.7146666666663	-0.4585555555549945	0.5326429738570368
